n, h, t, In, ^In, S, Ifin, I, err, mul_s, div_s
1,0.0001000000,0.8715000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8716000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8717000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8718000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8719000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8720000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8721000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8722000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8723000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8724000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8725000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8726000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8727000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8728000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8729000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8730000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8731000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8732000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8733000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8734000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8735000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8736000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8737000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8738000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8739000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8740000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8741000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8742000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8743000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8744000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8745000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8746000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8747000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8748000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8749000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8750000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8751000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8752000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8753000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8754000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8755000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8756000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8757000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8758000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8759000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8760000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8761000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8762000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8763000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
